ALGORITHM,N,SIZE,TIME,DEPTH,COMPARISONS
MergeSort,0,49,790200,3,268
QuickSort,0,49,621600,4,219
MergeSort,1,653,551500,7,5778
QuickSort,1,653,728500,7,6752
MergeSort,2,478,241400,6,4357
QuickSort,2,478,413600,6,5394
MergeSort,3,591,445300,7,5086
QuickSort,3,591,193100,7,5687
MergeSort,4,869,519600,7,8500
QuickSort,4,869,239400,7,9020
MergeSort,5,555,152600,7,4704
QuickSort,5,555,143200,6,5507
MergeSort,6,539,129500,7,4513
QuickSort,6,539,124800,6,5274
MergeSort,7,302,51900,6,2355
QuickSort,7,302,82300,6,2432
MergeSort,8,711,124200,7,6443
QuickSort,8,711,137900,7,6870
MergeSort,9,311,55700,6,2463
QuickSort,9,311,51000,6,2623
MergeSort,10,266,37600,6,1986
QuickSort,10,266,28800,6,2669
MergeSort,11,84,12900,4,490
QuickSort,11,84,9300,5,485
MergeSort,12,996,220900,8,9519
QuickSort,12,996,91300,7,12504
MergeSort,13,556,86300,7,4768
QuickSort,13,556,68500,7,5369
MergeSort,14,883,218200,7,8785
QuickSort,14,883,85800,8,8653
MergeSort,15,744,115100,7,6988
QuickSort,15,744,78000,7,8066
MergeSort,16,474,1644500,6,4264
QuickSort,16,474,70800,6,4436
MergeSort,17,970,171500,8,9749
QuickSort,17,970,97500,7,10985
MergeSort,18,33,6400,3,133
QuickSort,18,33,4600,4,138
MergeSort,19,718,182800,7,6542
QuickSort,19,718,57800,7,7899
MergeSort,20,238,37900,5,1915
QuickSort,20,238,17900,6,2116
MergeSort,21,504,87900,7,4245
QuickSort,21,504,46700,6,5756
MergeSort,22,466,122200,6,4183
QuickSort,22,466,37200,6,4676
MergeSort,23,339,56800,6,2770
QuickSort,23,339,28200,6,2848
MergeSort,24,531,99600,7,4443
QuickSort,24,531,50800,7,5133
MergeSort,25,949,215900,7,9607
QuickSort,25,949,79800,7,10887
MergeSort,26,660,120200,7,5891
QuickSort,26,660,60100,7,6237
MergeSort,27,676,175200,7,6111
QuickSort,27,676,67200,7,6855
MergeSort,28,115,15700,4,850
QuickSort,28,115,11300,5,861
MergeSort,29,317,45400,6,2515
QuickSort,29,317,24600,6,2562
MergeSort,30,200,42400,5,1523
QuickSort,30,200,23000,6,1706
MergeSort,31,32,9000,3,132
QuickSort,31,32,4300,4,127
MergeSort,32,991,250000,8,9625
QuickSort,32,991,104100,8,11219
MergeSort,33,797,210000,7,7606
QuickSort,33,797,71700,7,8685
MergeSort,34,914,142300,7,9178
QuickSort,34,914,70800,8,9193
MergeSort,35,628,152000,7,5531
QuickSort,35,628,63900,7,6950
MergeSort,36,214,27800,5,1707
QuickSort,36,214,18600,5,1775
MergeSort,37,921,173000,7,9123
QuickSort,37,921,77700,7,9774
MergeSort,38,927,960400,7,9413
QuickSort,38,927,78500,7,10205
MergeSort,39,340,151500,6,2704
QuickSort,39,340,34400,6,2917
MergeSort,40,629,330000,7,5536
QuickSort,40,629,91900,7,5915
MergeSort,41,850,364000,7,8336
QuickSort,41,850,67300,7,8965
MergeSort,42,766,295700,7,7245
QuickSort,42,766,82600,7,8448
MergeSort,43,228,93100,5,1767
QuickSort,43,228,18300,6,1750
MergeSort,44,911,348100,7,9178
QuickSort,44,911,80000,8,10178
MergeSort,45,689,373300,7,6215
QuickSort,45,689,69100,6,7726
MergeSort,46,846,448100,7,8180
QuickSort,46,846,72900,7,8300
MergeSort,47,155,42600,5,1041
QuickSort,47,155,15800,5,1190
MergeSort,48,837,96900,7,8141
QuickSort,48,837,64400,7,9008
MergeSort,49,610,63800,7,5285
QuickSort,49,610,55600,7,5873
MergeSort,50,492,54100,7,4330
QuickSort,50,492,45400,7,4514
MergeSort,51,730,78900,7,6845
QuickSort,51,730,58200,7,7474
MergeSort,52,400,43500,6,3498
QuickSort,52,400,34100,6,4442
MergeSort,53,178,17300,5,1298
QuickSort,53,178,13800,5,1235
MergeSort,54,135,14400,5,863
QuickSort,54,135,11700,5,1095
MergeSort,55,132,13900,5,873
QuickSort,55,132,11800,6,982
MergeSort,56,810,99500,7,7743
QuickSort,56,810,68300,6,8724
MergeSort,57,493,57000,7,4351
QuickSort,57,493,41300,6,4747
MergeSort,58,824,110800,7,7923
QuickSort,58,824,70600,7,8711
MergeSort,59,919,519400,7,9161
QuickSort,59,919,80200,7,9723
MergeSort,60,909,361000,7,9131
QuickSort,60,909,77300,7,9806
MergeSort,61,305,98200,6,2328
QuickSort,61,305,33700,6,2578
MergeSort,62,729,238900,7,6756
QuickSort,62,729,55000,6,7761
MergeSort,63,712,254600,7,6463
QuickSort,63,712,61300,6,8058
MergeSort,64,973,368800,8,9714
QuickSort,64,973,87500,8,10225
MergeSort,65,632,206900,7,5600
QuickSort,65,632,57300,7,6794
MergeSort,66,775,259800,7,7330
QuickSort,66,775,67500,7,7845
MergeSort,67,229,107100,5,1829
QuickSort,67,229,19700,6,1832
MergeSort,68,764,276500,7,7116
QuickSort,68,764,65200,7,8232
MergeSort,69,712,80500,7,6542
QuickSort,69,712,63100,7,7563
MergeSort,70,614,52100,7,5446
QuickSort,70,614,55400,7,6489
MergeSort,71,69,6400,4,371
QuickSort,71,69,7000,5,407
MergeSort,72,775,62500,7,7328
QuickSort,72,775,86100,7,8000
MergeSort,73,927,87100,7,9296
QuickSort,73,927,85000,7,9884
MergeSort,74,90,7500,4,565
QuickSort,74,90,9400,5,545
MergeSort,75,128,10100,5,809
QuickSort,75,128,30400,6,910
MergeSort,76,264,24800,6,1958
QuickSort,76,264,27300,6,2333
MergeSort,77,875,69200,7,8722
QuickSort,77,875,76800,7,9721
MergeSort,78,966,80700,8,9759
QuickSort,78,966,86200,8,10261
MergeSort,79,231,15200,5,1837
QuickSort,79,231,17300,5,1819
MergeSort,80,94,7300,4,572
QuickSort,80,94,9200,5,665
MergeSort,81,474,36700,6,4382
QuickSort,81,474,39500,7,4547
MergeSort,82,176,12400,5,1281
